title,price,published_date,year,link,vin
New Listing2018 Kia Forte LX Sedan 4D,"ILS 56,841.40",Nov-10 19:13,2018,https://www.ebay.com/itm/134323016292?hash=item1f46469264:g:OksAAOSw~IRjRiGk&amdata=enc%3AAQAHAAAAoHZdS4GGeGoD1BFe4ogW9uijh9z97u3uoz%2BBoO%2Bbj8NgEZ9Wgh17Y7Ox2nHctUSUI5mpUeG%2BQRU8%2BMQVB3uaCMo3SdWNiQs5R1to57tP8zkdJREDvvMD%2FTGmNI0qggnqsRVyXEulTBRXKpW6ag7PL%2Bknu%2FtLkVZO9kgoZc33knYyUhmwJ52MtF20KuQjZ5dtNbZO7n%2Bn8Wz9fz1Y25hIRjw%3D%7Ctkp%3ABk9SR7TwltWMYQ,3KPFK4A79JE234640
New Listing2016 Kia Sorento LX,"ILS 1,776.85",Nov-10 18:33,2016,https://www.ebay.com/itm/385225352559?hash=item59b138656f:g:RlcAAOSw3iti-AAF&amdata=enc%3AAQAHAAAAkD0n6K8mCPb65Gn3rp%2BHh6lad2HxuqDJvopthRrcUALHtZlVfqKhc2mwrA5QP%2FXV3n1TdXI4DeQabeKzJnJO0LheSUnQp3MVHpzPKz5vR3nLYhDYonKOBTNZv%2BmxbI7EDrbyefMc3Kf5nEcreDnDl%2FJg1dhGlGLN9Oq0NwTzerSKK4ntP44oaP6477pTqZARMQ%3D%3D%7Ctkp%3ABk9SR7TwltWMYQ,5XYPG4A3XGG054873
New Listing2013 Kia Optima SX,"ILS 42,466.69",Nov-10 17:40,2013,https://www.ebay.com/itm/285034732240?hash=item425d64dad0:g:iAYAAOSwwNVjbasm&amdata=enc%3AAQAHAAAAoG3xuFzXrwZUqWgkIWHbgeoXfgIymZdbleuxhWxLkGyg5WQbji22deO22PI%2FqnaNRVpFEaCnUwvYPxB%2FUXVjAUTYd4OS9xUTZQGLLVEi2FwzzPZI%2BLnLx3ef960%2FB4Z%2BuQqfxsAlunXzWMTkX0f9hQg8jpQRhSxYQT9qBKbqwW0aGRqBb%2B2qDnd9IW%2B0JoM%2FxkEEXRtVWmIo3dFf8mAzyjw%3D%7Ctkp%3ABk9SR7TwltWMYQ,5XXGR4A60DG133876
New Listing2014 Kia Optima LX,"ILS 37,136.15",Nov-10 17:40,2014,https://www.ebay.com/itm/285034732090?hash=item425d64da3a:g:08QAAOSwHq5jbasm&amdata=enc%3AAQAHAAAAoChMRk2CTbBtF%2FckZvRJ2yLqBZy%2Fc%2FRldN%2FuPCA57KCLS%2BZK7eh3G3ydoRPcC8zT9JOHUjnL6ko4aJg9MEAeCTNrkH9s5bbs4zzY2rg5eLZRppCGFJnxZEEIssLZAUOLPTJ0trHDqsildz2aYutdSz9xg%2FEsVfGc3bjN8JfGbH7KHW%2BddY0zZhTwB0lbScbKHqof0Pt34od%2BOqUdJEVEfFI%3D%7Ctkp%3ABk9SR7TwltWMYQ,KNAGM4AD3E5067940
New Listing2021 Kia Sorento SX-Prestige,"ILS 152,801.91",Nov-10 17:33,2021,https://www.ebay.com/itm/304697583873?hash=item46f1642901:g:7lEAAOSwSzFi3wyj&amdata=enc%3AAQAHAAAAoPsd0BYgxoTrAUecmTdEsgZXyBsUti%2BtJkNGwrfKnJWosbTlodqTvtJOZVSA8Ml0u4%2BRsz5vvOz9sA1lUa4%2BOhGz%2BOwxHwLpmv6SVI0Tkdjt%2BN5zQnWnckSNDagJ1gTIrAugBo1ZhdDhtB8OCWqcM4f%2FRUQ5Qrze3p0tYzFVeyGV9VKzyIYuv6EE74KgwNOZRDbkUYsIa0ilrrzniDeWt5g%3D%7Ctkp%3ABk9SR7TwltWMYQ,5XYRKDLF7MG040620
New Listing2016 Kia Soul ,"ILS 44,819.24",Nov-10 17:32,2016,https://www.ebay.com/itm/175485078268?hash=item28dbb9cafc:g:hDUAAOSwhI5jYb3g&amdata=enc%3AAQAHAAAAoP9Nf0lp32QRXiZBkZ89fF0L%2BnbdjRKOoCGnOgX9sIacVX1eVu2D0zYuEQbpvtIOw8Fqn%2Fpk5gLjYhxjfA0u%2FlBiWOKfmSDs6L3KF3zYFuGj4NCKNCv4Mt%2BjYXUaNNz2hlz5rqM69858nHGSOCP5SSdh2Z8LSA1%2FWZsfVbbgzyNKvo76CdeDLvNRkvQbrLP7UqJfQfZ6ppgzq6o9AfL8dAM%3D%7Ctkp%3ABk9SR7TwltWMYQ,KNDJN2A2XG7377244
New Listing2016 Kia Forte LX,"ILS 33,582.45",Nov-10 17:11,2016,https://www.ebay.com/itm/285034711877?hash=item425d648b45:g:CLwAAOSwCTZjYHAf&amdata=enc%3AAQAHAAAAoCe7J6ucM1HuWB3EOaUEwEFw6Vq5X3aOxIZCbC1W35T3K2xD5NEOlq5TKQc88qoEVw%2B1ovJB0Vpq73JvfzQGcb7OSfIhvCVEPC%2BIq4b7f5yusUAzRmSm0hL8gRUImSfhoWkUK5s8hNdnV4XdOzTXjluusKHdbCxHITbeIIYUdgMTE4vcuJHq%2Byq7QF04a6nbV%2Fas7PvNH0p6mGkB8GP9AjA%3D%7Ctkp%3ABk9SR7TwltWMYQ,KNAFX4A69G5461692
New Listing2019 Kia Optima LX,ILS 3.55,Nov-10 15:10,2019,https://www.ebay.com/itm/234774697565?hash=item36a9a9965d:g:0C8AAOSwsJJjbJ7N&amdata=enc%3AAQAHAAAAkPEeGF9KyDPbuvd8qvOw%2FnuwDIu%2B3fQJG2xLTSo%2BYdRk78fCaJb%2BFnncYSxZFvwbrnTKzD7z7TOJ1y2l4vgcSmHeWMyyn57H4mUcse0OBKvYPKmgVZlwRDWjJfNIbew4ODZe8xIe6HMVrKuN0tmoe6rurQku7bVRvMHcbfuczQtodqlLI05Zh59VU0q6ocEn8w%3D%3D%7Ctkp%3ABk9SR7TwltWMYQ,5XXGT4L34KG375734
New Listing2020 Kia Forte GT-Line,"ILS 1,776.85",Nov-10 14:38,2020,https://www.ebay.com/itm/385225003813?hash=item59b1331325:g:7ocAAOSwQspi~iaY&amdata=enc%3AAQAHAAAAkMDD%2BuP57N0cdbxSzbViRkJJMmWffuxlP05wSHNY%2BjriBn4j%2F6omKcuy1Zf%2BrCHNNj3HmU1QZd7aU9HsVGUMKuFkBF7Yhf%2FxBYBKDk6aIGT9OzKGYQZPTCQ0xOHhOFiy7PJASZ3AXNpWb8zc3mDTYtuWi4Ua%2B8bBz0PiQfzqfrSaN1ZnYHiI%2BT6hwxcIXp9m1A%3D%3D%7Ctkp%3ABk9SR7TwltWMYQ,3KPF34AD5LE161885
New Listing2018 Kia Sportage LX,"ILS 63,888.39",Nov-10 13:21,2018,https://www.ebay.com/itm/364045469591?hash=item54c2cd0797:g:1OkAAOSw6AljbWs2&amdata=enc%3AAQAHAAAAoIIaj482jJx8OBfhI%2BuPf%2Fprhyy9ApkmEses2AYXKTRBgxZzVYMKUOVO4zmagkidbiQlrkxzMI3ghn5FeQh3S62f%2B3P7BFuvnLi8lOakppWOovgeSxzwFE1uObJaClMkLp7HQH%2Bmnd8CZGjMIStfF%2BtRP6s2PcqPg7AXgS9fDRPYAxRQYjigEbQONoV9uFcEwXAhLqGAstU7jlW%2Fb6RrcN8%3D%7Ctkp%3ABk9SR7TwltWMYQ,KNDPMCAC4J7310786
