title,price,published_date,year,link,vin
New Listing1958 Cadillac Eldorado ,"ILS 212,866.52",Nov-10 21:26,1958,https://www.ebay.com/itm/144805713411?hash=item21b717d603:g:viQAAOSwJ8Rip-qZ&amdata=enc%3AAQAHAAAAoPhw8MCxjTCey6eT3qt%2BygEMIYlyRHI0KXacsfa0U8IVtEUR%2FQ%2FBhCZG%2F9dvYzgWnxMsHkD3qAUCfitOjPAyhYpd3Wdx3BTqh2YGEFoxj8RXbfOuwiNaXafh58cSsoBfbaSEy4n5N6Yy8PZzkaOBzlK1iNz468weAwYIxoYQijpchJJfRZfJ0DW7r3Z047QA7DxO8kQdXq%2FijhhjPWAJuIk%3D%7Ctkp%3ABk9SR5qWntWMYQ,00000000000000000
New Listing2011 Cadillac CTS ,"ILS 31,983.28",Nov-10 20:17,2011,https://www.ebay.com/itm/255821691950?hash=item3b90293c2e:g:mWMAAOSwCBtjbcy6&amdata=enc%3AAQAHAAAAoNjpn02ju5V2ZK10SvFS074wLheZUhbNFNSTRLQwONnkfPrHrWQDjMAWp4at5Dwb2R02mdSVXuLuBO%2B35ixZY%2BPq187b70dc6JD4KvJg%2BxRK8feXKk%2BCPgN2G%2FwV%2F%2FIR99PQ2i907T2fj928Nj8%2BWH6NsPrQixL6%2F3NB5UVwPJEjxSXYr950RY1%2Bn%2Fjx7zOyCZCMlVqbH2HKpIesBjZWths%3D%7Ctkp%3ABk9SR5qWntWMYQ,1G6DA5EY0B0164896
New Listing2017 Cadillac CTS ,"ILS 266,527.36",Nov-10 19:38,2017,https://www.ebay.com/itm/175485166992?hash=item28dbbb2590:g:dngAAOSwobVjbblQ&amdata=enc%3AAQAHAAAAoN48bkXQb5folo1CIgl0BDKwXNUzrIR5HYvAGAezSy408njy9DtHrVhk%2BfvNSzYGdb1ZqOcZ4l3Sf414B%2BOKDUvTlgwAAT%2FA5mX%2B2AMbvuuXT6EmtfgQJ0BGU28DR7qGyZRT0q3cw0NspM5R97mCh%2BpSWbmGHInzXzZ%2BLZ72tDf%2FGSltw%2BS7S5%2FjyoXYHSKFYELwKaSQZIqK%2BFisfOBW%2BrY%3D%7Ctkp%3ABk9SR5qWntWMYQ,1G6A15S66H0210858
New Listing2013 Cadillac ATS 2.0T,"ILS 53,287.70",Nov-10 19:25,2013,https://www.ebay.com/itm/275535439386?hash=item402731261a:g:s4QAAOSwuSRjZymS&amdata=enc%3AAQAHAAAAoB7eRneUmVgHSntn9B5pkod0Rqnh8XxbZusiOANFphnSufn84JFuERuakcaSEpbvn5Hd%2BQZeFINhpQZsSQt5X3FBtkLeEApK6AmkdClUiGfrMtW9OoAaekW3vnHO5lKecsCekft3vxxp7eoObC9F%2BdX1TI8RW6IUZx%2BK5wxnVtC4WNnfsN5u3Ja1c2G%2FEhUKBXnUL0WpfsyxGc2IavRfyIU%3D%7Ctkp%3ABk9SR5qWntWMYQ,1G6AA5RX1D0136578
New Listing2023 Cadillac Escalade ,"ILS 815,573.73",Nov-10 18:50,2023,https://www.ebay.com/itm/325419690532?hash=item4bc4866a24:g:l-UAAOSwYVljbaSk&amdata=enc%3AAQAHAAAAoKEgLK84dZ9pktXIk1iPCDs82NsfDfeqZaCcW1cN1Rvkm4BfbFmSeASZFaDRPWEJXWlAD2ivVFcykO0tPrN3VH6w6Q5IShga1pUlc21j2npnpgCB5I%2FYc%2BTnSS%2Fs8OaYbf6nQLQhrPMUCyxgJuxVB%2FM1dCUviXKBcFXSHEDtgB5ZrqQXM1xgIVySZTmr78lcZp%2Fdp7olknwI0vy6%2FfNGJNg%3D%7Ctkp%3ABk9SR5qWntWMYQ,1GYS4HK99PR147098
New Listing1947 Cadillac Other Special Fleetwood,"ILS 35,536.98",Nov-10 18:44,1947,https://www.ebay.com/itm/285034772611?hash=item425d657883:g:eeMAAOSwaStixOgJ&amdata=enc%3AAQAHAAAAoK2XZxKAHZ17oJ0Yo4ticHM%2B9HYdCeoIFCcGWyT%2BxLIYWRSYN%2FUYqteWD7nIHx5pjU1YGqRsw6rA%2Bf6YDpkR%2F5Uul2%2BIhuugRn%2FzxXyjhDZHPBV32jCfaIkzMYWUI%2BApYVSaMzHbhJ%2BsoSh5bGeKWziC7PrToifDauFcYTw%2BFuDeXiKogZevaEUX7eEsCy199kGIfiroGbmx%2BKKUiX%2FtLUY%3D%7Ctkp%3ABk9SR5yWntWMYQ,00000000000000000
New Listing2013 Cadillac Escalade Luxury,"ILS 1,776.85",Nov-10 18:33,2013,https://www.ebay.com/itm/385225352539?hash=item59b138655b:g:vUUAAOSwCT1i-AAL&amdata=enc%3AAQAHAAAAkMzMrmWDcxthXXRG4Pp9Ap8cz7zrMUYnDpvQu4ZmF2y5TSqtvi5N4AfrJ4bgp6In7f7DcymhYG6W9ZdKz2j4kHJB7KbBsap66CisBrUMLbxPPhYHUXIA6N9BVa3p66Es419Ffz0J6%2FtJwqLtfUFVveBDQQnxgGf7WLTOt%2Blyaxl3GSgchumdkbNEKjzjUFZEnA%3D%3D%7Ctkp%3ABk9SR5yWntWMYQ,1GYS4BEF1DR218756
New Listing1959 Cadillac DeVille ,"ILS 113,700.57",Nov-10 17:35,1959,https://www.ebay.com/itm/285034729838?hash=item425d64d16e:g:ovkAAOSwENhjba5S&amdata=enc%3AAQAHAAAAoKC4JROYy5%2FQuC9kaLYs5PhgX8sVvWbc9XYeCNluS9MH%2Fk8%2F9LfpUdoXpsV1TRYMR%2BjYUeU4FqtSvCfJ4EGEf5Y1%2F4IrxW3PND0qLVzPzgpPDd%2F6bwzydNNYw6e4E6y24jbY3bxTpuCaUNqOhJMuwVvYqO9eO%2FdeRzn7uj2SEKJ6A24w9TsFudYvVHyJGQfS30e88kSMhIchGuTVGvo5kKE%3D%7Ctkp%3ABk9SR5yWntWMYQ,00000000000000000
New Listing2023 Cadillac Escalade V-Series,"ILS 888,417.43",Nov-10 17:34,2023,https://www.ebay.com/itm/354386809710?hash=item528319936e:g:gBYAAOSwnc1jRhM-&amdata=enc%3AAQAHAAAAoB0uJr1S6bIEZUDVeUDAyLSIoSMNmZbxzMV6eOUp1QKcj2mHDzGBRcmaS%2BHNmPJ1Fe3G%2BtpcrFYj8u1ax1Dq9NjSAJJw9MD9sNtNSI5z%2BR1IzDCCvxUy8XgJnsfgumVC4O%2FrIqCEy2grZSAqRYEK6agliAZGsKwYVurhkuvSk761NwwggblngRsEUTeH7iNBSD1cBFxQPt0Q%2BADIDtxJoHs%3D%7Ctkp%3ABk9SR5yWntWMYQ,1GYS4HK93PR142348
New Listing1976 Cadillac Fleetwood brougham d elegance,"ILS 197,230.25",Nov-10 16:26,1976,https://www.ebay.com/itm/204149007409?hash=item2f883aa431:g:IXwAAOSwARljbZOj&amdata=enc%3AAQAHAAAAoGprBqVGGUfJNmeOkw1z%2FxUMgeWs%2FBy8LRVPqNDdrwmT1WXFweaguCFa3i5OiuQ7%2Bgwo70AGNvVWbAEfWjRK6Gi3puepjv2grQaYnxpZJAgT37q0dc2GRYupAZjp1cxfF1MXm2cGXi%2Bb0gkdDDjz71bcQsgG9Nynb7EQdymGYn0RvG8gv7NnbyayKoDfyk9FFz0%2BtqfpgMyLCOye%2BLngZpY%3D%7Ctkp%3ABk9SR5yWntWMYQ,6B69S6Q278503
